epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.016,0.61854,2.34065,1.26448,0.0034,1,0.82334,0.59427,0.33797,2.96948,1.06365,0.00012,0.00012,0.00012
2,49.7661,0.45899,1.3981,1.10361,0.00487,1,0.89801,0.72502,0.42211,2.78258,1.12542,0.000254852,0.000254852,0.000254852
3,72.4033,0.58422,0.99905,1.22655,1,0.51309,0.99278,0.76964,0.58425,2.53539,1.28679,0.00038416,0.00038416,0.00038416
4,94.7502,0.56721,0.97878,1.16436,0.97944,0.98039,0.97584,0.77269,0.67986,2.38142,1.48776,0.000507924,0.000507924,0.000507924
